season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,w_d_l,points,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage,metrics_json,rank
2024,2024RMUC,RMUC,499,中部赛区,A组,13,河北科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525678437924-logo_blue_800x800.png,Actor&Thinker,0/0/2,0,7,-900,-299,1854,"{""对手分"": 7, ""局均全队总伤害血量"": 1854, ""局均总前哨站净胜血量"": -299, ""局均总基地净胜血量"": -900, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,14,燕山大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525676163698-logo_blue_800x800.png,燕鹰,0/0/2,0,4,-150,-286,1980,"{""对手分"": 4, ""局均全队总伤害血量"": 1980, ""局均总前哨站净胜血量"": -286, ""局均总基地净胜血量"": -150, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,15,长安大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525678187820-logo_bule_800x800.png,VGD,0/0/2,0,3,-1220,-443,1576,"{""对手分"": 3, ""局均全队总伤害血量"": 1576, ""局均总前哨站净胜血量"": -443, ""局均总基地净胜血量"": -1220, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,16,西安理工大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525666732892-logo_purple_800x800.png,NEXT E,0/0/2,0,1,-433,-847,1321,"{""对手分"": 1, ""局均全队总伤害血量"": 1321, ""局均总前哨站净胜血量"": -847, ""局均总基地净胜血量"": -433, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,1,西安电子科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525676832533-logo_red_800x800.png,IRobot,3/0/0,3,3,1823,0,5570,"{""对手分"": 3, ""局均全队总伤害血量"": 5570, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": 1823, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,2,华南理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/b81c5a92-dc8f-479d-97b4-d531a39ce70b,华南虎,3/0/0,3,0,1917,39,5499,"{""对手分"": 0, ""局均全队总伤害血量"": 5499, ""局均总前哨站净胜血量"": 39, ""局均总基地净胜血量"": 1917, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,3,哈尔滨工业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/830c2cbd-31e5-4fea-9015-cb6ec9fa5224,I Hiter,2/0/1,2,6,542,201,5982,"{""对手分"": 6, ""局均全队总伤害血量"": 5982, ""局均总前哨站净胜血量"": 201, ""局均总基地净胜血量"": 542, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,4,华北科技学院,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525674748988-logo_blue_800x800.png,风暴,2/0/1,2,5,54,335,4304,"{""对手分"": 5, ""局均全队总伤害血量"": 4304, ""局均总前哨站净胜血量"": 335, ""局均总基地净胜血量"": 54, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,5,南京理工大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525665364632-logo_purple_800x800.png,Alliance,2/0/1,2,0,-211,147,2583,"{""对手分"": 0, ""局均全队总伤害血量"": 2583, ""局均总前哨站净胜血量"": 147, ""局均总基地净胜血量"": -211, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,6,太原科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525680043036-log_blue_800x800.png,NewMaker,2/0/1,2,-1,-244,90,4290,"{""对手分"": -1, ""局均全队总伤害血量"": 4290, ""局均总前哨站净胜血量"": 90, ""局均总基地净胜血量"": -244, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,7,东莞理工学院,https://rm-static.djicdn.com/games-backend/ef8c032e-9c30-467d-afc0-81ee5475cfe3,ACE,2/0/1,2,-4,-116,26,3956,"{""对手分"": -4, ""局均全队总伤害血量"": 3956, ""局均总前哨站净胜血量"": 26, ""局均总基地净胜血量"": -116, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,8,中国石油大学（华东）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ca37313c-d7ce-4887-a872-fe558d3e39bd,RPS,2/0/1,2,-5,768,91,4993,"{""对手分"": -5, ""局均全队总伤害血量"": 4993, ""局均总前哨站净胜血量"": 91, ""局均总基地净胜血量"": 768, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,9,武汉工程大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/a413c7fa-e03f-4b01-922a-fc05d46aba6f,Nautilus,1/0/2,1,4,74,93,4016,"{""对手分"": 4, ""局均全队总伤害血量"": 4016, ""局均总前哨站净胜血量"": 93, ""局均总基地净胜血量"": 74, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,10,厦门大学嘉庚学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/74fa4796-2b58-4d72-8b60-2150168b72fe,TCR,1/0/2,1,1,-1101,-13,1899,"{""对手分"": 1, ""局均全队总伤害血量"": 1899, ""局均总前哨站净胜血量"": -13, ""局均总基地净胜血量"": -1101, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,B组,11,西南石油大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/d54803f3-1758-4597-b85d-9db75b9a37e7,铁人,1/0/2,1,0,-431,-319,2416,"{""对手分"": 0, ""局均全队总伤害血量"": 2416, ""局均总前哨站净胜血量"": -319, ""局均总基地净胜血量"": -431, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
