season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,rank,w_d_l,points,total_victory_point_diff,total_team_damage,total_robot_hp_remaining,metrics_json
2026,2026RMUL,RMUL,582,华南站,F组,3,深圳职业技术大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/c4e80f93-0bbb-49b4-b391-0b6671351c1b,RCIA,3,0/0/2,0,-398,6648,1736,"{""全队总伤害血量"": 6648, ""全队机器人总剩余血量"": 1736, ""总净胜胜利点"": -398, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,G组,1,五邑大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525678640816-logo_glod_800x800.png,IMCA,1,2/0/0,6,786,5965,3838,"{""全队总伤害血量"": 5965, ""全队机器人总剩余血量"": 3838, ""总净胜胜利点"": 786, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,G组,2,深圳技术大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/d6d0f220-ef43-4e8b-9805-bf5d2e516b06,悍匠,2,1/0/1,3,12,4141,2960,"{""全队总伤害血量"": 4141, ""全队机器人总剩余血量"": 2960, ""总净胜胜利点"": 12, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,G组,3,海南大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/144627fb-8595-46ef-a4ed-68d0a340f7a4,南海鲨,3,0/0/2,0,-798,1960,3112,"{""全队总伤害血量"": 1960, ""全队机器人总剩余血量"": 3112, ""总净胜胜利点"": -798, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,H组,1,东莞理工学院,https://rm-static.djicdn.com/games-backend/ef8c032e-9c30-467d-afc0-81ee5475cfe3,ACE,1,2/0/0,6,697,18958,3272,"{""全队总伤害血量"": 18958, ""全队机器人总剩余血量"": 3272, ""总净胜胜利点"": 697, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,H组,2,电子科技大学中山学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/6784aac0-42fc-4ffd-9e1c-cc27427022e3,RoboBraver,2,1/0/1,3,-20,7008,2796,"{""全队总伤害血量"": 7008, ""全队机器人总剩余血量"": 2796, ""总净胜胜利点"": -20, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,H组,3,华南师范大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/fd62886a-35c8-43d9-a0dc-d941a1dcc554,PIONEER,3,0/0/2,0,-677,1660,2810,"{""全队总伤害血量"": 1660, ""全队机器人总剩余血量"": 2810, ""总净胜胜利点"": -677, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,583,山东站,A组,1,河北科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525678437924-logo_blue_800x800.png,Actor&Thinker,1,2/1/0,7,455,10600,4987,"{""全队总伤害血量"": 10600, ""全队机器人总剩余血量"": 4987, ""总净胜胜利点"": 455, ""排名"": 1, ""积分"": 7, ""胜/平/负"": ""2/1/0""}"
2026,2026RMUL,RMUL,583,山东站,A组,2,山东理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/cd7bb6a9-f1cf-4f8d-9275-0f919de56a07,齐奇,2,1/2/0,5,427,12787,5112,"{""全队总伤害血量"": 12787, ""全队机器人总剩余血量"": 5112, ""总净胜胜利点"": 427, ""排名"": 2, ""积分"": 5, ""胜/平/负"": ""1/2/0""}"
2026,2026RMUL,RMUL,583,山东站,A组,3,天津大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667950468-logo_blue_800x800.png,北洋机甲,3,1/1/1,4,239,8407,4242,"{""全队总伤害血量"": 8407, ""全队机器人总剩余血量"": 4242, ""总净胜胜利点"": 239, ""排名"": 3, ""积分"": 4, ""胜/平/负"": ""1/1/1""}"
