team_key,school_key,college_name,team_name,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score,shape_rank,program_base_theta,prior_delta_theta,regional_pre_theta,regional_pre_rating,pre_signal_sd_theta,pre_signal_sd_rating,rmuc_history_strength,beta_perf,mu0,sigma0
北京理工大学珠海学院::毅恒,北京理工大学珠海学院,北京理工大学（珠海）,毅恒,东部赛区,东部赛区,13,tier2,1884,40,12.055,91,0.1280169313632517,-0.368450807226091,-0.24043387586283932,1467.5414267585168,0.3649908455211792,49.273764145359195,0.8083068320701722,1.8179707527160645,1467.5414267585168,49.273764145359195
南京理工大学::Alliance,南京理工大学,南京理工大学,Alliance,东部赛区,东部赛区,14,tier2,1884,42,11.415,19,0.19252685402965922,-0.050469314146282904,0.14205753988337633,1519.177767884256,0.2919926764169434,39.41901131628735,0.776851911456987,1.8179707527160645,1519.177767884256,39.41901131628735
齐鲁工业大学::Adam,齐鲁工业大学,齐鲁工业大学,Adam,东部赛区,东部赛区,15,tier2,1884,48,10.615,66,0.3564078551134565,-0.35059708642116505,0.005810768692291468,1500.7844537734593,0.2919926764169434,39.41901131628735,0.6283524759675949,1.8179707527160645,1500.7844537734593,39.41901131628735
中北大学::606,中北大学,中北大学,606,东部赛区,东部赛区,17,unseeded,1884,57,8.665,61,-0.32301453990501805,-0.2704155386984726,-0.5934300786034907,1419.8869393885288,0.2919926764169434,39.41901131628735,0.6414499609262999,1.8179707527160645,1419.8869393885288,39.41901131628735
合肥工业大学::苍穹,合肥工业大学,合肥工业大学,苍穹,东部赛区,东部赛区,16,tier2,1884,57,8.665,33,-0.11677569727793571,-0.12982948818599657,-0.24660518546393229,1466.7082999623692,0.2919926764169434,39.41901131628735,0.6505751325662825,1.8179707527160645,1466.7082999623692,39.41901131628735
西南交通大学::Helios,西南交通大学,西南交通大学,Helios,东部赛区,东部赛区,18,unseeded,1884,57,8.665,84,0.31905595376877216,-0.4026435875943526,-0.08358763382558043,1488.7156694335467,0.2919926764169434,39.41901131628735,0.6455003136068211,1.8179707527160645,1488.7156694335467,39.41901131628735
合肥工业大学(宣城校区)::WDR,合肥工业大学(宣城校区),合肥工业大学（宣城校区）,WDR,东部赛区,东部赛区,19,unseeded,1884,65,8.415,26,0.7512222471171439,0.5306727113847175,1.2818949585018613,1673.0558193977513,0.2919926764169434,39.41901131628735,0.6510862255659006,1.8179707527160645,1673.0558193977513,39.41901131628735
安徽信息工程学院::Artisans,安徽信息工程学院,安徽信息工程学院,Artisans,东部赛区,东部赛区,20,unseeded,1884,65,8.415,34,-0.00041382669281331795,0.10894559561341835,0.10853176892060504,1514.6517888042818,0.3649908455211792,49.273764145359195,0.6465170653851496,1.8179707527160645,1514.6517888042818,49.273764145359195
福建理工大学::苍侠,福建理工大学,福建理工大学,苍侠,东部赛区,东部赛区,21,unseeded,1884,65,8.415,96,-0.197932895589342,-0.5768674972273383,-0.7748003928166803,1395.4019469697482,0.2919926764169434,39.41901131628735,0.6407614254324617,1.8179707527160645,1395.4019469697482,39.41901131628735
成都大学::Ultra,成都大学,成都大学,Ultra,东部赛区,东部赛区,22,unseeded,1884,68,8.265,65,-0.4327722570499854,-0.2978752535266087,-0.7306475105765942,1401.3625860721597,0.2919926764169434,39.41901131628735,0.6509221782997872,1.8179707527160645,1401.3625860721597,39.41901131628735
